family,rho,J,test,type_I,mcse,R,skew_D,abs_skew,skew_mcse
normal,0.0,75,studentized_bootstrap,0.0528,0.0044726797336719,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,100,studentized_bootstrap,0.0576,0.0046597098622124,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,150,studentized_bootstrap,0.0568,0.0046292012269937,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,200,studentized_bootstrap,0.0448,0.0041372918678768,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.0,400,studentized_bootstrap,0.0588,0.00470499989373,2500,-0.000947950377876,0.000947950377876,0.0024494897427831
normal,0.6,10,studentized_bootstrap,0.0552,0.0045674045146012,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,15,studentized_bootstrap,0.0512,0.0044081088915769,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,20,studentized_bootstrap,0.0516,0.0044243616488709,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,25,studentized_bootstrap,0.0532,0.0044886416653593,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,30,studentized_bootstrap,0.054,0.0045203539684409,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,40,studentized_bootstrap,0.058,0.0046748689821213,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,50,studentized_bootstrap,0.0532,0.0044886416653593,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,75,studentized_bootstrap,0.0568,0.0046292012269937,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,100,studentized_bootstrap,0.052,0.0044405405076409,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
normal,0.6,150,studentized_bootstrap,0.0524,0.0044566462727032,2500,-0.0002568952991997,0.0002568952991997,0.0024494897427831
